componente;MAT;CURSO
907076;13814;
907076;10920;
907076;9148;
907076;9453;
907076;10900;
907076;21372;
907076;14183;
907081;15127;
907081;19116;
907081;16923;
907081;13814;
907081;18030;
907081;10920;
907081;9148;
907081;19115;
907081;15977;
907081;21372;
907081;9453;
907081;17525;
907081;9458;
907081;10900;
907081;14183;
907093;13814;
907093;16821;
907093;19116;
907093;16923;
907093;18030;
907093;10920;
907093;9148;
907093;2779;
907093;15127;
907093;15977;
907093;13207;
907093;19115;
907093;13216;
907093;21372;
907093;12031;
907093;9453;
907093;20131;
907093;9458;
907093;10900;
907102;16923;
907102;13814;
907102;10920;
907102;16821;
907102;9148;
907102;19115;
907102;21372;
907102;9453;
907102;10900;
907104;2779;
907105;2779;
907108;19116;
907108;13207;
907108;19115;
907108;9148;
907108;17525;
907108;16821;
907108;10920;
907108;13814;
907108;16923;
907108;10900;
907108;9458;
907108;20131;
907108;9453;
907108;21372;
907109;16923;
907109;19116;
907109;15127;
907109;19115;
907109;16821;
907109;10920;
907109;13814;
907109;10900;
907109;9458;
907109;20131;
907109;9148;
907109;9453;
907109;14183;
907110;13814;
907110;19116;
907110;18030;
907110;16923;
907110;10920;
907110;16821;
907110;9148;
907110;2779;
907110;15127;
907110;15977;
907110;13207;
907110;19115;
907110;16043;
907110;9458;
907110;20131;
907110;9453;
907110;13216;
907110;21372;
907110;12031;
907110;13777;
907110;12367;
907111;10920;
907111;17525;
907111;16923;
907111;13814;
907111;9148;
907111;15127;
907111;13207;
907111;19115;
907111;9458;
907111;20131;
907111;9453;
907111;12031;
907111;21372;
907111;16821;
907111;4564;
907112;19115;
907112;13814;
907112;10920;
907112;16821;
907112;18030;
907112;13207;
907112;15977;
907112;15127;
907112;2779;
907112;9148;
907112;16923;
907112;16043;
907112;9458;
907112;20131;
907112;9453;
907112;12031;
907112;21372;
907112;13777;
907112;13216;
907112;4564;
907113;16821;
907113;17525;
907113;9148;
907113;19115;
907113;19116;
907113;9458;
907113;10900;
907113;9453;
907113;14183;
907113;4564;
907113;21372;
907114;15977;
907114;13814;
907114;19116;
907114;16821;
907114;16923;
907114;18030;
907114;10920;
907114;9148;
907114;2779;
907114;15127;
907114;13207;
907114;19115;
907114;13216;
907114;9458;
907114;16043;
907114;20131;
907114;9453;
907114;21372;
907114;12031;
907114;13777;
907114;4564;
907115;15977;
907115;16923;
907115;13814;
907115;13207;
907115;19115;
907115;9453;
907115;9148;
907115;9458;
907115;10920;
907115;10900;
907116;16923;
907116;19116;
907116;13814;
907116;10920;
907116;15127;
907116;19115;
907116;9148;
907116;9453;
907116;9458;
907116;10900;
907116;4564;
907116;14183;
907119;15977;
907119;9148;
907119;19115;
907119;13207;
907120;16821;
907120;17525;
907120;19116;
907120;9148;
907120;16923;
907120;10900;
907120;9458;
907120;10482;
907120;9453;
907120;21372;
907120;13216;
907120;4564;
907120;12719;
907120;14183;
907124;10920;
907124;15127;
907124;9148;
907124;13814;
907124;19116;
907124;16923;
907124;16821;
907124;19115;
907124;10900;
907124;9458;
907124;20131;
907124;9453;
907124;21372;
907124;4564;
907124;14183;
907126;18030;
907126;10920;
907126;16821;
907126;19115;
907126;15127;
907126;9148;
907126;13814;
907126;19116;
907126;16923;
907126;10900;
907126;9458;
907126;20131;
907126;9453;
907126;14183;
907128;19116;
907128;16923;
907128;13814;
907128;10920;
907128;16821;
907128;17525;
907128;9148;
907128;19115;
907128;13207;
907128;15977;
907128;21372;
907128;9453;
907128;9458;
907128;10900;
907128;14183;
907129;15977;
907129;16923;
907129;13814;
907129;10920;
907129;9148;
907129;17525;
907129;19115;
907129;9453;
907129;10900;
907130;10920;
907130;18030;
907130;19116;
907130;16923;
907130;13814;
907130;9148;
907130;15127;
907130;15977;
907130;19115;
907130;10900;
907130;9458;
907130;20131;
907130;9453;
907130;14183;
907131;16923;
907131;15977;
907131;13814;
907131;10920;
907131;9148;
907131;19116;
907131;19115;
907131;17525;
907131;9453;
907131;10900;
907131;14183;
907132;13218;
907132;9148;
907132;19115;
907132;16923;
907132;10920;
907132;15127;
907132;15977;
907132;19116;
907132;10900;
907132;9453;
907132;13690;
907133;15127;
907133;15977;
907133;13207;
907133;12367;
907135;13207;
907135;19116;
907135;15977;
907135;15127;
907135;9148;
907135;10920;
907135;13814;
907135;16923;
907135;19115;
907135;9458;
907135;10900;
907135;17525;
907135;9453;
907135;4564;
907135;14183;
907136;15127;
907136;13814;
907136;19116;
907136;18030;
907136;10920;
907136;9148;
907136;16923;
907136;13207;
907136;19115;
907136;9453;
907136;9458;
907136;10900;
907136;4564;
907136;14183;
907137;13207;
907137;19115;
907137;16923;
907137;13814;
907137;10920;
907137;4564;
907137;9148;
907138;13218;
907138;9148;
907138;15977;
907139;13207;
907139;19115;
907139;19116;
907139;16923;
907139;13814;
907139;10920;
907139;9148;
907139;15127;
907139;10900;
907139;9458;
907139;9453;
907139;4564;
907139;14183;
907140;10920;
907140;19116;
907140;16923;
907140;18030;
907140;15127;
907140;13814;
907140;9148;
907140;13207;
907140;19115;
907140;9453;
907140;9458;
907140;10900;
907140;14183;
907141;9148;
907141;19115;
907141;10920;
907141;9453;
907141;10900;
907141;15977;
907142;9148;
907142;19116;
907142;13814;
907142;10920;
907142;19115;
907142;10900;
907142;13216;
907142;9453;
907142;13690;
907142;14183;
907143;2779;
907143;13814;
907143;9148;
907143;16923;
907143;19116;
907143;10920;
907143;9458;
907143;9453;
907144;19116;
907144;19115;
907144;15977;
907144;9148;
907144;10920;
907144;13814;
907144;10900;
907144;9453;
907144;21372;
907145;18030;
907145;15127;
907145;10920;
907145;13814;
907145;19115;
907145;9458;
907145;20131;
907145;9148;
907145;9453;
907145;10900;
907146;15127;
907146;13814;
907146;10920;
907146;16923;
907146;9148;
907146;19115;
907146;19116;
907146;18030;
907146;9453;
907146;9458;
907146;10900;
907146;4564;
907146;14183;
907147;2779;
907147;13814;
907147;9148;
907147;16923;
907147;19116;
907147;10920;
907147;9458;
907147;9453;
907148;16821;
907150;13207;
907151;16923;
907151;19116;
907151;15127;
907151;19115;
907151;16821;
907151;10920;
907151;13814;
907151;10900;
907151;9458;
907151;20131;
907151;9148;
907151;9453;
907151;14183;
907155;10920;
907155;18030;
907155;19116;
907155;16923;
907155;13814;
907155;9148;
907155;15127;
907155;15977;
907155;19115;
907155;10900;
907155;9458;
907155;20131;
907155;9453;
907155;14183;
907156;10920;
907156;18030;
907156;19116;
907156;16923;
907156;13814;
907156;9148;
907156;15127;
907156;15977;
907156;19115;
907156;10900;
907156;9458;
907156;20131;
907156;9453;
907156;14183;
907161;16821;
907161;12719;
907161;9148;
907161;13207;
907161;9458;
907161;9453;
907161;12031;
907161;21372;
908073;12031;
908073;16043;
908074;12031;
908074;16043;
908075;16043;
908075;12031;
908076;16043;
908076;12031;
908077;16043;
908077;12031;
908092;16043;
908092;12031;
908093;16043;
908093;12031;
908097;12031;
908103;16043;
908103;12031;
908122;16043;
908124;16043;
908126;12031;
908127;12031;
908127;16043;
908129;12031;
908129;16043;
908130;12031;
908130;16043;
908132;16043;
908132;12031;
908133;16043;
908133;12031;
908137;16043;
908137;12031;
908139;12031;
908139;16043;
908140;12031;
908140;16043;
908141;12031;
908141;16043;
908142;12031;
908142;16043;
908143;16043;
908143;12031;
908145;16043;
908145;12031;
908146;16043;
908146;12031;
908147;16043;
908147;12031;
908148;12031;
908149;16043;
908149;12367;
908149;12031;
